"gene","essential","comment"
"10010","False",""
"10012","False",""
"10017","False",""
"10029","False",""
"10038","False",""
"10043","False",""
"10069","False",""
"10104","False",""
"10136","False",""
"10140","False",""
"10149","False",""
"10156","False",""
"10170","False",""
"10182","False",""
"10184","False",""
"10200","False",""
"10205","False",""
"10210","False",""
"10212","False",""
"10218","False",""
"10226","False",""
"10251","False",""
"10264","True",""
"10276","False",""
"10277","False",""
"10292","False",""
"10293","False",""
"10304","False",""
"10308","False",""
"10316","False",""
"10317","False",""
"10331","False",""
"10374","False",""
"10379","False",""
"10380","False",""
"10391","False",""
"10393","False",""
"10408","False",""
"10428","False",""
"10452","False",""
"10455","False",""
"10456","False",""
"10461","False",""
"10469","False",""
"10475","False",""
"10484","False",""
"10490","False",""
"10497","False",""
"10504","False",""
"10514","True",""
"10529","False",""
"10541","True",""
"10551","False",""
"10558","False",""
"10570","False",""
"10572","False",""
"10576","False",""
"10577","False",""
"10583","False",""
"10592","False",""
"10607","True",""
"10614","False",""
"10635","False",""
"10647","False",""
"10658","False",""
"10704","False",""
"10705","False",""
"10722","False",""
"10811","False",""
"10812","False",""
"10841","False",""
"10869","False",""
"10885","False",""
"10921","False",""
"10937","False",""
"10941","False",""
"10946","False",""
"10953","False",""
"10985","False",""
"10989","False",""
"10998","False",""
"11011","False",""
"11017","False",""
"11022","False",""
"11036","False",""
"11039","False",""
"11047","False",""
"11050","False",""
"11075","True",""
"11129","False",""
"11136","False",""
"11137","False",""
"11147","False",""
"11160","False",""
"11167","False",""
"11172","False",""
"11203","False",""
"11205","False",""
"11208","False",""
"11216","False",""
"11257","False",""
"11266","False",""
"11267","False",""
"11269","False",""
"11272","False",""
"11317","False",""
"11332","False",""
"11340","False",""
"11341","False",""
"11343","False",""
"11351","False",""
"11352","False",""
"11362","False",""
"11409","False",""
"11410","False",""
"11420","False",""
"11446","False",""
"11455","False",""
"11463","False",""
"11465","False",""
"11469","False",""
"11486","False",""
"11513","False",""
"11525","False",""
"11543","False",""
"11550","False",""
"11604","False",""
"11623","False",""
"11624","False",""
"11625","False",""
"11642","False",""
"11649","True",""
"11650","False",""
"11661","False",""
"11665","False",""
"11686","False",""
"11723","False",""
"11739","False",""
"11740","False",""
"11741","False",""
"11776","True",""
"11777","False",""
"11787","False",""
"11793","False",""
"11799","False",""
"11802","False",""
"11804","False",""
"11809","False",""
"11833","False",""
"11837","False",""
"11840","False",""
"11849","False",""
"11857","False",""
"11871","False",""
"11873","False",""
"11876","False",""
"11877","False",""
"11882","False",""
"11884","False",""
"11893","False",""
"11907","False",""
"11909","False",""
"11925","False",""
"11952","False",""
"11962","False",""
"11982","False",""
"11989","False",""
"11993","False",""
"12031","False",""
"12032","False",""
"12034","False",""
"12042","False",""
"12051","False",""
"12061","False",""
"12086","False",""
"12096","False",""
"12121","True",""
"12151","False",""
"12154","False",""
"12155","False",""
"12161","False",""
"12210","False",""
"12219","False",""
"12221","True",""
"12248","False",""
"12269","False",""
"12272","False",""
"12302","False",""
"12354","False",""
"12382","False",""
"12384","False",""
"12385","False",""
"12393","False",""
"12407","False",""
"12408","False",""
"12410","False",""
"12428","False",""
"12434","False",""
"12445","False",""
"12476","False",""
"12482","False",""
"12513","False",""
"12543","False",""
"12545","True",""
"12553","False",""
"12555","False",""
"12562","False",""
"12564","False",""
"12565","False",""
"12566","False",""
"12570","False",""
"12594","False",""
"12620","False",""
"12622","False",""
"12623","False",""
"12625","False",""
"12637","False",""
"12639","False",""
"12642","False",""
"12646","False",""
"12680","False",""
"12690","False",""
"12730","False",""
"12740","False",""
"12742","False",""
"12743","False",""
"12748","False",""
"12752","False",""
"12761","False",""
"12778","False",""
"12781","False",""
"12784","False",""
"12795","False",""
"12842","False",""
"12846","False",""
"12867","False",""
"12876","False",""
"12883","False",""
"12898","False",""
"12902","False",""
"12916","False",""
"12920","False",""
"12923","False",""
"12926","False",""
"12950","False",""
"12971","False",""
"12974","False",""
"12976","False",""
"12977","False",""
"12989","False",""
"13007","False",""
"13041","False",""
"13042","False",""
"13048","False",""
"13049","False",""
"13082","False",""
"13087","False",""
"13090","False",""
"13100","False",""
"13105","False",""
"13106","False",""
"13128","False",""
"13143","False",""
"13161","False",""
"13167","False",""
"13172","False",""
"13228","False",""
"13239","False",""
"13262","False",""
"13264","False",""
"13272","False",""
"13287","False",""
"13297","False",""
"13302","False",""
"13319","False",""
"13328","False",""
"13350","False",""
"13369","False",""
"13382","False",""
"13383","False",""
"13385","True",""
"13409","False",""
"13411","False",""
"13412","False",""
"13413","False",""
"13419","False",""
"13423","False",""
"13426","False",""
"13443","False",""
"13444","False",""
"13445","True",""
"13485","True",""
"13486","False",""
"13489","False",""
"13524","False",""
"13539","False",""
"13554","False",""
"13559","False",""
"13562","False",""
"13580","False",""
"13582","False",""
"13603","False",""
"13606","False",""
"13608","False",""
"13609","False",""
"13627","False",""
"13637","False",""
"13641","False",""
"13656","False",""
"13669","False",""
"13670","False",""
"13690","False",""
"13694","False",""
"13700","False",""
"13706","False",""
"13708","False",""
"13709","False",""
"13711","False",""
"13722","False",""
"13733","False",""
"13757","True",""
"13766","False",""
"13771","False",""
"13791","False",""
"13797","False",""
"13813","False",""
"13824","False",""
"13834","False",""
"13840","True",""
"13856","False",""
"13857","False",""
"13900","False",""
"13917","False",""
"13925","False",""
"13947","False",""
"13959","False",""
"13969","False",""
"13986","False",""
"13990","False",""
"14002","False",""
"14014","False",""
"14022","False",""
"14023","False",""
"14036","False",""
"14055","False",""
"14070","False",""
"14108","False",""
"14111","False",""
"14119","False",""
"14129","False",""
"14132","False",""
"14139","False",""
"14158","False",""
"14162","False",""
"14170","False",""
"14195","False",""
"14196","False",""
"14197","False",""
"14213","False",""
"14229","False",""
"14241","True",""
"14245","True",""
"14247","False",""
"14256","False",""
"14281","False",""
"14309","False",""
"14317","False",""
"14324","False",""
"14368","False",""
"14369","False",""
"14436","False",""
"14461","False",""
"14463","False",""
"14465","False",""
"14480","False",""
"14521","False",""
"14541","False",""
"14545","False",""
"14546","False",""
"14558","False",""
"14559","False",""
"14576","False",""
"14585","False",""
"14597","False",""
"14600","False",""
"14602","False",""
"14610","False",""
"14617","False",""
"14623","False",""
"14638","False",""
"14698","False",""
"14724","False",""
"14743","False",""
"14774","False",""
"14788","False",""
"14802","False",""
"14805","False",""
"14826","False",""
"14839","False",""
"14844","False",""
"14853","False",""
"14856","False",""
"14866","False",""
"14878","False",""
"14880","False",""
"14886","False",""
"14900","False",""
"14908","False",""
"14911","False",""
"14925","False",""
"14934","False",""
"14942","False",""
"14950","False",""
"14957","False",""
"14960","False",""
"14979","False",""
"15006","False",""
"15007","False",""
"15008","False",""
"15012","False",""
"15033","False",""
"15037","False",""
"15059","False",""
"15065","False",""
"15066","False",""
"15069","False",""
"15070","False",""
"15074","False",""
"15086","False",""
"15092","False",""
"15095","False",""
"15129","False",""
"15133","False",""
"15156","False",""
"15159","True",""
"15168","False",""
"15169","False",""
"15180","False",""
"15195","False",""
"15218","False",""
"15228","False",""
"15240","False",""
"15248","False",""
"15276","False",""
"15305","False",""
"15324","False",""
"15328","False",""
"15336","False",""
"15340","False",""
"15358","False",""
"15366","False",""
"15385","False",""
"15418","False",""
"15423","False",""
"15425","False",""
"15426","False",""
"15429","False",""
"15430","False",""
"15435","False",""
"15436","False",""
"15438","False",""
"15449","False",""
"15469","False",""
"15470","False",""
"15483","False",""
"15507","False",""
"15534","False",""
"15545","False",""
"15569","False",""
"15575","False",""
"15584","False",""
"15663","False",""
"15693","False",""
"15694","False",""
"15712","False",""
"15713","False",""
"15730","False",""
"15736","False",""
"15744","False",""
"15746","False",""
"15748","False",""
"15758","False",""
"15759","False",""
"15762","False",""
"15783","False",""
"15791","False",""
"15806","False",""
"15807","False",""
"15814","False",""
"15829","False",""
"15839","False",""
"15844","False",""
"15845","False",""
"15856","False",""
"15857","False",""
"15860","False",""
"15874","False",""
"15900","False",""
"15902","False",""
"15905","False",""
"15909","False",""
"15911","False",""
"15923","False",""
"15953","False",""
"15962","False",""
"15982","False",""
"15991","False",""
"15994","False",""
"16011","False",""
"16016","False",""
"16018","False",""
"16019","False",""
"16030","False",""
"16031","False",""
"16046","False",""
"16048","True",""
"16065","False",""
"16088","False",""
"16092","False",""
"16128","False",""
"16182","False",""
"16187","False",""
"16193","False",""
"16196","False",""
"16202","False",""
"16206","False",""
"16208","False",""
"16213","False",""
"16228","False",""
"16253","False",""
"16258","False",""
"16266","False",""
"16267","False",""
"16273","False",""
"16275","False",""
"16276","False",""
"16280","False",""
"16284","False",""
"16287","False",""
"16323","False",""
"16324","False",""
"16330","False",""
"16345","False",""
"16369","False",""
"16452","False",""
"16453","False",""
"16460","False",""
"16462","False",""
"16477","False",""
"16485","False",""
"16503","False",""
"16505","False",""
"16515","False",""
"16520","False",""
"16522","False",""
"16542","False",""
"16549","True",""
"16552","False",""
"16580","False",""
"16581","False",""
"16585","False",""
"16607","False",""
"16618","False",""
"16619","False",""
"16630","False",""
"16635","False",""
"16643","False",""
"16646","False",""
"16648","False",""
"16655","False",""
"16659","False",""
"16682","False",""
"16713","False",""
"16716","False",""
"16717","False",""
"16725","False",""
"16732","True",""
"16736","False",""
"16738","False",""
"16742","False",""
"16758","False",""
"16779","False",""
"16799","False",""
"16850","False",""
"8372","False",""
"8376","False",""
"8399","False",""
"8431","False",""
"8434","False",""
"8441","False",""
"8443","False",""
"8454","False",""
"8456","True",""
"8486","False",""
"8518","False",""
"8530","False",""
"8540","False",""
"8542","False",""
"8548","False",""
"8569","False",""
"8576","False",""
"8580","False",""
"8585","False",""
"8589","False",""
"8601","False",""
"8602","False",""
"8608","False",""
"8613","False",""
"8616","False",""
"8618","False",""
